Filename,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
Diacetyl_10e-5_Worm2_Buffer_batch_0,4,67,4.28981,3.8290080431504228,4.8469387901291645,4.341512938643734,"4.330349543676604,4.632875555674074,4.024120949149131,4.384652344208491,4.809786771290689,4.514600325318258,4.8308083825440935,4.19286318068491,4.531317311467432,4.698169407200659,4.58688212860821,4.211039139813261,4.68980919043305,3.8673788592447376,4.006423710665739,4.087823752849004,4.222569763449332,4.53083049147234,4.68978346029983,4.098652021284397,4.581825443627602,3.9815853353332282,4.4734747343235775,4.617317317320325,4.115624598487219,4.699586338630615,4.577325265881175,4.387481330708932,4.246213808079644,4.664852993773237,4.067741895063692,4.568751286706022,4.5895187615104645,4.393278591573042,4.182931376720625,4.174587533922873,4.243483310519492,4.267905480060462,4.762131648690255,4.34018023309136,4.227321342815964,4.088229756641242,4.8469387901291645,4.317681018108755,4.296231520623142,4.370826132667138,4.290921083784281,4.3454175490399125,4.6628498684523905,4.295541993714964,3.9207602043542567,4.271922176885422,4.204293564699187,4.123327299639803,4.50524541566383,4.5097049754069385,4.075277476842085,4.604093498841758,4.001803696058276,3.8290080431504228,4.710117382755683,4.2344645917099815,3.8787582892029353,3.911274425768327,3.96195107513775,4.26460397642071,4.256268167257766"
IAA_10e-6_Worm3_Buffer_batch_0,6,89,2.89363,2.670166893538861,3.3999775038891378,3.0476442917521442,"3.1207811737707427,3.1236682384115313,3.2535850128919805,2.832801036256544,2.8387650892062806,3.1296803141929,3.210733686841993,2.9697951033797216,2.8853595112865142,3.3999775038891378,2.9481596216417687,2.9140276945955246,2.891800946513887,3.3510877299125954,3.281242682430146,2.7763238010780578,3.086081046622354,3.1551932503959708,2.9869022303580617,2.884018864402898,3.0492828556111418,3.201244848924621,2.823567341971814,3.0990425328437357,3.0214619127652984,3.121514768883714,3.0094221298372466,3.0985725059541265,2.958864024772769,2.915423053866978,3.056363553691898,3.196109790693876,2.7022780684684493,3.105375259791495,2.958302073690742,3.095012995581127,3.0343997795369018,2.8759944499234082,2.930868864258415,3.186960001412391,2.8957651468685,3.094777057066997,3.0907575264740603,3.1794108190631647,2.7865017075131226,3.222938049226728,2.9168696351942893,3.179269089053426,3.0981927068445425,2.8651019646472755,2.8842600003552223,2.8334008263582637,3.1792107237783362,3.114999606001892,3.114074281481843,3.0557030533032643,2.925179163490802,3.1110520977520997,3.0664989860172285,2.993443929881804,3.171879612298743,2.9009351136195667,3.1319561223609043,3.199203806444867,2.9642561141686787,2.938099649712277,3.219724822187199,3.1574797616136165,2.865305443717677,3.1487406099379087,3.0514180456649105,3.1137448720667242,3.1323494849848514,3.1162349971197667,2.958548746871587,3.252152335337041,2.8935011911131725,3.3416108486749145,2.7823202960892326,3.3236674412302554,2.951876432294123,2.670166893538861,3.0651348420388245,3.142505471281046,3.279577840573077,3.1406177608349646,3.1608317756584805,3.080434602757371,2.998615310818514"
NaCl_200mM_Worm3_Buffer_batch_0,4,39,2.61242,2.193519550602963,3.13784900648795,2.661206855013335,"2.9493388330060086,2.408983875060245,3.0898732372404027,2.8010872549172667,2.8434265518279553,2.649648469712579,2.935589441945453,2.764742248165746,2.5520259286657017,2.5280945673129267,2.3931456565501095,2.6379504545618304,2.9226630559414026,2.8254335748206656,2.507288554696761,2.677372168059087,2.90252403481689,2.380452323026283,2.7823786991598194,2.656214054567207,2.4963670816913472,3.13784900648795,2.738916864664659,2.2796438803486536,2.765245537035399,2.6373594640171363,2.4301438196506506,2.6118344279754258,2.739228391157289,2.7051486366186874,2.8436929290035913,2.8368414310990255,2.362628618536964,2.8252479423353485,2.54556194037397,2.53519200496059,2.193519550602963,2.4394955976480177,2.4549172372580697"
Benzaldehyde_10e-3_Worm2_Buffer_batch_0,4,41,6.03325,5.770646047818485,6.527078198509732,6.198206993136218,"6.031294684184298,6.085150052336846,6.2172127138694036,6.149766312146216,6.240455265783437,5.855006402814665,6.307129259326866,6.352044306756169,5.770646047818485,6.025623393571889,6.277526787014769,5.932354857219185,6.247164469605664,6.067401181340376,6.314033778445074,6.360767398277609,6.114835917033964,6.050661429476485,5.824793026894121,6.435047830778996,6.362725084082193,5.922128725328686,5.968844233010314,6.1459005956871495,6.389029061074412,6.527078198509732,6.202195327791087,6.28598717784272,6.428267431996586,6.453657164119485,6.414056093000946,6.257744375046085,6.219563818306373,6.3538381775472335,6.232982326459164,6.493309696557832,6.032648718120171,6.450385774150006,6.345633282944272,5.921689189197128,6.059907153118827"
x2nonanone_10e-4_Worm2_Buffer_batch_0,4,67,4.45272,4.023917041046042,4.966910725691626,4.564855059655945,"4.6821806814442954,4.711226116098216,4.023917041046042,4.943802035765338,4.493972934643346,4.321784521798473,4.966910725691626,4.8000456996488925,4.297149243277474,4.736574091556961,4.400042411365505,4.502511781579687,4.777771194858331,4.750225487311777,4.667596526579959,4.633789538706264,4.651233303554741,4.586945277455303,4.731124046637312,4.72901980376059,4.777365493715207,4.881249297212725,4.5931388889254805,4.718528082380776,4.575336526813261,4.783219554877,4.265174658076092,4.555390373115109,4.555890598098236,4.74113249493089,4.2106741515738655,4.736147812252749,4.646229614198028,4.847554265104135,4.752285616869977,4.6500272796602475,4.235356814742221,4.389818660609214,4.545991041403844,4.82032136969079,4.560121973755033,4.879659113341737,4.149224453492981,4.350175937067312,4.653585733540628,4.4495908470734715,4.694674966671254,4.4487515160544175,4.418261462142793,4.362036246726067,4.05241465634148,4.340719794145691,4.646241132457794,4.6778303325583295,4.497006385881681,4.856820528778027,4.620834413100875,4.8565141217914825,4.542647283449707,4.893586779914576,4.748748640308816,4.627409253888376,4.2728569023818626,4.0577412948246705,4.176382908915709,4.154754421469746,4.1680428398437686"
Diacetyl_10e-7_Worm3_Buffer_batch_0,4,51,3.29901,2.955083476878217,3.7641773843874664,3.386641096136524,"3.4431334955438206,3.345492868956462,3.4435813538765028,3.4193996414706413,3.4498367147620717,3.466834808842251,3.737221417912807,3.3237251472130898,3.5674508769707316,3.53567760300904,3.5211657329542323,3.4984679512902446,3.419851726218458,3.359362464205288,3.2011061904044573,3.5072742851710936,3.579837720460928,3.277275633490807,3.6896996300774774,3.5616711332607585,3.127434427158389,3.316856375637924,3.373741864887036,3.158697659607371,3.729440464234093,3.314340246303598,3.6608268524359677,3.2889803823410944,3.4716351495004036,3.7641773843874664,3.3607882223781536,3.19165657034944,3.249816921506119,3.421841084436508,3.5044317230199,3.5205500541759833,3.126643652995275,3.360072120539376,3.395033778249467,3.1345407294805065,2.955083476878217,3.4566404287832015,3.709341333391313,2.99101736068692,3.4066042849936187,3.1390390381810813,3.296176643279744,3.225957978524765,3.2063941560987486,3.0333481351337235,3.47952100729613"
IAA_10e-4_Worm2_Buffer_batch_0,5,67,4.06422,3.6710298371565857,4.551117768726819,4.2005158933356945,"4.007166173923137,4.195879908929316,4.24066469146497,3.996504221655882,4.390738679706681,4.21995320398032,3.742076445602456,4.532604303502461,4.233449734258361,4.544425777848999,4.210534649322548,4.137567486104048,4.44937815851959,4.323092926366439,4.290545773756562,4.330820747720279,4.510734329598528,4.379035447457826,3.9381295520759294,3.8934154408002546,4.288241516983243,3.8222935180838333,4.127509750407437,4.256268167257766,4.148545658320016,4.551117768726819,4.161002836439528,4.279353454686038,4.479857101421682,4.257200641420083,3.7967144069606626,4.177276319759881,4.4422656616503335,4.039208606461645,4.010166796381622,4.14373353891264,4.468162261539602,4.4141270451075405,4.387640472263966,3.723383481576805,4.243598187544248,4.018255423241971,4.233542564033249,4.128344788961841,4.05120736621523,4.13334683578133,4.320639258337787,4.091425047979208,4.156977287132222,4.256696249723921,4.22130198391307,4.455265278991688,4.116811995494555,4.356049263436474,4.360872361941008,4.355327896345499,4.535520799162276,4.061883066811929,3.8687378817323603,4.5216073482881685,3.9607436635055295,3.9849463980556012,4.2669100011884025,4.21803415579749,4.461893859799162,3.6710298371565857,3.8428093959649994"
x2nonanone_10e-2_Worm3_Buffer_batch_0,4,40,5.97865,5.724351914187519,6.427284876744932,6.18444948712465,"5.7718861521935585,6.0803123281078,6.101935943245235,6.427284876744932,6.108210991184565,5.945387576941877,6.033022914678988,6.306837494223167,6.212229261705708,6.267121043134066,6.3282656847655705,6.103059059925601,6.032984541988377,5.724351914187519,6.205434108904643,6.073799312757048,6.2627963559417,6.209595536397056,6.329567983306976,6.255185735788761,6.282345493306277,6.393551167369431,6.0991518030704075,6.141611182607163,6.143180519551888,6.0031448881326295,6.384979052534385,5.792949432617143,6.226821261747211,6.311284951723332,6.394540686145487,6.16880686610376,6.380201017240032,6.414020048210433,6.390925538689195,6.392440135443606,6.382939429885455,5.950562850520371,6.233579081143617,6.111675262821001"
NaCl_600mM_Worm1_Buffer_batch_0,4,74,4.26608,3.468988466147373,4.8419492169214,4.308800357705478,"3.6546536139029806,3.8475157869354892,4.181789480340926,3.9305732328109646,4.258228472355837,4.480301393066482,4.565778399697782,4.271176560277557,4.607647362661992,4.5809569463322015,4.824469310437232,4.1168348162331725,4.832654977704445,4.271986380021013,4.393167327134401,3.980633092480064,4.8419492169214,4.4514773525257905,4.003667409187691,4.521913914814198,4.288167363406012,4.065911696385563,4.533511519218001,4.215414542555524,3.9046892346596165,4.425711339367312,4.458371963119924,4.112649919613362,4.415010457698045,3.7344337529658205,4.085380896121899,4.254153417036884,4.5422341179695405,4.412450045630159,4.127945089211722,4.370257044108973,4.574916038255038,4.488770805137459,3.8570063423321206,4.317766346504908,4.322915211257131,4.211727210361219,4.3771175860629254,4.424887642312024,4.55379133829476,4.077470487639922,4.155535652721826,4.497342868565559,4.69841906397312,4.391303662506119,4.564456357076033,4.210697894699028,4.311402772434612,4.515208920691001,4.400607070680923,4.218599657112494,4.759889562173343,4.016908854621228,4.726016421235761,4.791597476136664,4.594589342064408,4.4908338266818,4.505289623596465,4.194626055769233,4.548790504224717,4.274052634132587,4.5152461249373115,3.7616501225408183,4.551200106624859,3.964232410622581,4.2231883958505465,3.961566537657273,3.468988466147373,3.7689496316601994"
IAA_10e-6_Worm1_Buffer_batch_0,5,58,3.32031,3.116705642334519,3.7836545035334384,3.4519125359572618,"3.415229507206521,3.588555173252336,3.7836545035334384,3.5826073255103386,3.596835151313758,3.578771298164286,3.5418296613852607,3.469854859883393,3.1706777294916755,3.7539078703685655,3.3957050961974344,3.345626949286594,3.1171139466764615,3.200918562873908,3.259972106165245,3.259141323758918,3.457410364639756,3.528318775830117,3.7138309617196326,3.393245870681035,3.344786885812023,3.601039679662642,3.2978140256447914,3.428142832116482,3.3181991051163164,3.7179263711840833,3.513024743506216,3.610208303838204,3.5693249321615887,3.626295965097572,3.4129433241129314,3.506181487654286,3.170450637788638,3.509803540859903,3.48877659654393,3.5463468210934037,3.6628881295961766,3.3946240523919475,3.531838109931779,3.632424122894961,3.1562347755809874,3.2735430848237095,3.5107428866433064,3.595297835581706,3.5996073111282474,3.1620371028339895,3.4398644469625412,3.4651773887836206,3.3747703783571974,3.637425093376866,3.7326491951592873,3.437112721454982,3.495557661095198,3.116705642334519,3.1954619425254958,3.25578036834109,3.132052292013468,3.5946602535784273"
Benzaldehyde_10e-6_Worm2_Buffer_batch_0,5,74,3.65105,3.289361216237991,4.159685691429249,3.7770330254915683,"4.159685691429249,3.9169647467066744,3.8161988447275723,3.504160866821354,3.310824503755841,3.918456829193905,4.064559173085775,3.4320071163197245,3.852815955550504,3.59445130194816,3.979376985357048,3.945040858526574,4.019833709809877,4.050172877586295,4.07326695377823,3.5022809064851415,3.7652300709546656,4.056962798048389,3.8125674348181495,3.9111342549481987,3.802361743690878,3.875891330658848,4.0668751962454674,4.018514447560543,4.0321120587738335,3.5548168744523996,3.8873142359172514,3.8897068144153804,3.978913022856614,3.7521437093919467,3.6293116400273635,3.6898695822990617,3.5662466913666617,4.100038785440203,3.946924519440577,3.5997768970634363,3.578648390996065,3.94849988834179,3.289361216237991,3.7292194547984554,3.7660686435847746,3.7730555674766664,3.813495295126936,3.6435012471383526,4.027245907188522,3.973832783797553,3.9596072884900524,3.9881256333833814,3.8296513822533176,3.8435039126596435,3.6136505735731452,4.089453480620383,3.887666927608538,3.8082792637990126,3.868165226847136,3.47077030047584,3.462689224074704,3.770541474963821,4.081710443950918,3.7988678321208935,3.9063003667035328,3.7508702649022485,3.6799844261993844,4.08572735875327,3.3377278865641204,3.6888294215912216,3.4376018999841804,3.313065216272759,3.3421491521830875,3.495241869638119,3.9885223275654127,3.6108739058265695,3.3283667406258735,3.442762260606593"
NaCl_200mM_Worm1_Buffer_batch_0,6,73,2.26176,1.926125478371208,2.706374231338104,2.3540222876023167,"1.984870049637089,2.457319234922988,2.432762646847593,2.536844580776702,2.607218721379086,2.361067232284692,2.487809785258168,2.495429338256247,2.403382771294204,2.3003886945530763,2.3529446203738345,2.203422599655936,1.9995157982818799,2.431723391480254,2.706374231338104,2.706028050392292,2.491472716449782,2.651930190928229,2.326852003635115,2.335723845379659,1.999123998766561,2.5815084352614606,2.657491802513864,1.9932444731186971,2.5788567626025856,2.433387088712288,2.2974260847783614,2.3946974132054537,2.5790307107833423,2.2603692145364365,2.5057171805116747,2.294757962343843,2.3047564236991347,2.4443133001177357,2.3996437179014825,2.2950837323438966,2.370074214113277,2.2023040822624522,2.3726357701536127,2.4389224985023183,2.6556141008843315,2.2087448049949883,2.3984003097868656,2.49916174178995,2.246765711528569,2.4907739181670845,2.2608858295208445,2.377250408002307,2.284265422824762,2.1979408143647863,2.3343889795753827,2.2616886770391766,2.3511908920320583,2.1574811709009905,2.2188981278588806,2.1353343913554514,2.42643936281753,2.690626047988094,2.6816617818065502,2.365217214155382,2.0861257449374717,2.515280635666268,2.189422962910697,1.9807580441525983,2.140940577371325,2.0273044680145373,1.926125478371208,2.6440610718498245,2.1775570989242774,2.682753272163959,2.5305365645504967,2.0478565543778227,1.9757494449312643"
NaCl_600mM_Worm3_Buffer_batch_0,4,44,3.5148,3.228722861219202,4.047842228818205,3.6229490549315884,"3.7118918447173446,3.7275699495502925,3.4919992337661094,3.806146051959668,3.723562295508889,3.4915360098644053,4.047842228818205,3.45191315224185,3.8065775059185722,3.4419232731504286,3.4830011503121354,3.832103570244485,3.5151049267255448,3.8193123005713887,3.828055314448671,3.4301935443225746,3.6469456272387557,3.6011543989301256,3.710125292993763,3.7356948939048666,3.738240980647912,3.3803197333453676,3.6690312461394616,3.4689635228171976,3.433358673255925,3.8919344582553457,3.5061754799663496,3.228722861219202,3.485985011934485,3.9360065660139307,3.849306940162053,3.4989219186133655,3.7265153402519995,3.5445447216003196,3.3735497582136147,3.7360528823399295,3.30591679676357,3.4068432248921705,3.36542693767948,3.9508352000151956,3.7991949259182523,3.5671570313636556,3.7192085140899755,3.524893126303065"
Diacetyl_10e-7_Worm1_Buffer_batch_0,3,28,5.40614,5.200566085746094,5.901499534227248,5.564405230519119,"5.651332325990295,5.268713719611564,5.901499534227248,5.200566085746094,5.7224495827008495,5.264763837336597,5.453335033289626,5.705603058819199,5.33530087488853,5.271798148082643,5.789290037680311,5.364757148223609,5.406550560200825,5.64712912984876,5.672727080981023,5.273376275937317,5.816173282844259,5.511507385351697,5.396484676837225,5.602119964669897,5.481887470800325,5.72143483423898,5.6500739246337925,5.795896521951762,5.811820426844455,5.751291886721706,5.508440306729715,5.827023339347019"
